facilityType,seNumber,sectionPiId,standardId,statement,intentTooltip,sortOrder,active
HOSPITAL,1,1.3,1.3.2,"Standard Policies and procedures and applicable laws and regulations guide the uniform care
of all patients.","As patients move through a healthcare organisation from entry to discharge or
transfer, several departments and services as well as many different healthcare providers
may be involved in providing care. Throughout all phases of care, patient needs are
matched with the appropriate resources within and, when necessary, outside the
organisation. This is commonly accomplished by using established criteria or policies that
determine the appropriateness of transfers within the organisation.

For patient care to appear seamless, the organisation needs to design and implement
processes for continuity and coordination of care among physicians, nurses and other care
providers in:
•       emergency services and inpatient admission
•       diagnostic and treatment services
•       surgical and non-surgical services and
•       the organisational and other care settings.

The leaders of the various care settings and services work together to design and
implement the processes. The processes may be supported by explicit transfer criteria or by
policies, procedures or guidelines. The organisation identifies individuals responsible for
coordinating patient care (for example between departments) or for coordinating the care of
individual patients (for example the case manager).

Patients with the same health problems and care needs have a right to receive the same
quality of care throughout the organisation. To carry out the principle ""one level of quality of
care"" requires that the clinical and managerial leaders plan and coordinate the care provided
to patients. In particular, services provided to similar patient populations in multiple
departments or care settings are guided by policies and procedures that result in uniform
delivery. Those policies and procedures respect applicable laws and regulations that shape
the care process and are best developed collaboratively.

Uniform patient care is reflected in the following:
•       access to and appropriateness of care and treatment do not depend on the patient's
ability to pay or on the source of payment
•       the seriousness of the patient's condition determines the resources allocated to meet the
patient's needs
•       the level of care provided to patients (for example anaesthetic care) is the same
throughout the organisation and
•       patients with the same nursing care needs receive comparable levels of nursing care
throughout the organisation.

Uniform patient care results in the efficient use of resources and permits the evaluation of
outcomes of similar care processes throughout the organisation.",2,TRUE
HOSPITAL,2,2.1,2.1.1,Administrative support is provided for the organisation’s human resource strategy in order for it to meet the need for an adequate number of suitably qualified and trained staff.,"A designated individual ensures that administrative support personnel provide systems to enable the human resource strategy to be implemented. These include the collection, collation and analysis of data to provide and maintain an effective staffing structure.

Policies and procedures guide administrative support personnel in all matters relating to human resource management, e.g.:
• appointments, resignations and termination of service
• granting of leave and maintenance of leave records
• payment of salaries, payment of pension benefits; and
• storage, confidentiality and maintenance of staff records.",1,TRUE
HOSPITAL,2,2.1,2.1.2,A personnel file is maintained for each member of staff.,"Each staff member in the organisation has a record with information about his or her qualifications, results of evaluations and work history. These records are standardised and are kept current.

The confidentiality of personnel records is protected.
Personnel records are safely stored and their contents are monitored to ensure completeness.",2,TRUE
HOSPITAL,2,2.2,2.2.1,The organisation’s leaders plan for the provision of adequate numbers of suitably qualified personnel.,"Appropriate and adequate staffing is critical to patient care. The organisation's clinical and managerial leaders carry out staff planning using recognised methods for determining staffing levels. For example, a patient acuity system is used for determining the number of registered nurses with paediatric intensive care experience required to staff a ten bed paediatric intensive care unit.

The organisation's mission, mix of patients, services provided and technology used are considered in the planning. Applicable laws and regulations are incorporated into the planning.
Staff retention rather than recruitment provides greater long-term benefit. Retention is increased when leaders support staff development. Thus, the leaders collaborate to plan and implement uniform programmes and processes related to the recruitment, retention and development of all personnel.

There is a written plan, which identifies the numbers and types of required personnel and the skills, knowledge and other requirements needed in each department and service. The plan is designed to address:
• the reassignment of personnel from one department or service to another in response to changing patient needs or staff shortages
• the consideration of staff requests for reassignment, based on cultural values or religious beliefs, and
• the policies and procedures for transferring responsibility from one individual to another (for example, from a physician to a nurse) when the responsibility would fall outside such an individual's normal area of responsibility.

Planned and actual staffing levels are monitored on an ongoing basis and the plan is updated as necessary. When monitored on a departmental or service level, there is a collaborative process for the clinical and managerial leaders of the organisation to update the overall plan.",1,TRUE
HOSPITAL,2,2.3,2.3.1,Each staff member’s responsibilities are defined in a current description and performance agreement.,"The job description and performance agreement provides details of accountability, responsibility, formal lines of communication, principal duties and entitlements. It is a guide for an individual in a specific position within an organisation. Key performance areas should be included in order to evaluate the staff member's performance.",1,TRUE
HOSPITAL,2,2.3,2.3.2,The organisation uses a defined process to evaluate personnel knowledge and skills to ensure that these are consistent with patient needs.,"The organisation complies with laws and regulations that define the desired educational level, skill or other requirements of individual staff members, or define staffing numbers or the mix of personnel for the organisation. The organisation considers the mission of the organisation, and the needs of patients in addition to the requirements of laws and regulations. The organisation defines the process for; and the frequency of, and the ongoing evaluation of personnel abilities. Ongoing evaluation ensures that training occurs when needed and that the staff member is able to assume new or changed responsibilities. While such evaluation is best carried out in an ongoing manner, there is a least one documented evaluation each year for each staff member.",2,TRUE
HOSPITAL,2,2.3,2.3.3,"Sound industrial relations, which are based on current labour legislation, are implemented and maintained in the organisation.","Consistent application of fair labour practice; grievance and disciplinary procedures, dismissal, demotion and retrenchment policies and procedures are essential to prevent labour dispute, with its consequent negative effects on patient care. Membership of trade unions and/or health professional organisations must be encouraged. There must be negotiation and consultation between these bodies, the management of the organisation and the personnel to promote harmonious working relationships. Current employment policies need to be known and applied. The organisation’s leaders thus have a responsibility to:
• be conversant with all current labour laws and regulations (national requirements will apply)
• educate personnel managers in relevant aspects of labour law
• ensure that policies and procedures are developed and
• ensure that these policies and procedures are effectively implemented.",3,TRUE
HOSPITAL,2,2.4,2.4.1,All staff members are orientated to the organisation and to their specific job responsibilities at the time of appointment.,"The decision to appoint an individual to the staff of an organisation sets several processes in motion. To perform well, a new staff member needs to understand the workings of the entire organisation and how his or her specific responsibilities contribute to the organisation’s mission. This is accomplished through a general orientation to the organisation and his or her role in the organisation, and a specific orientation to the job responsibilities of his or her position. The organisation includes, as appropriate, the reporting of medical errors, infection control practices, the organisation’s policies on telephonic medication orders, and so on. Contract workers and volunteers are also orientated to the organisation and their specific assignment or responsibilities, such as patient safety and infection control.",1,TRUE
HOSPITAL,2,2.4,2.4.2,"Each staff member receives on-going in-service training and development to maintain or advance his or her skills and knowledge, based on identified needs.","The organisation has a responsibility to ensure that staff members are educated in matters which affect their performance in the organisation. In particular, the personnel are trained in health and safety matters, infection control and cardio-pulmonary resuscitation. The organisation collects and integrates data from several sources to understand the ongoing educational needs of the personnel. Such sources include monitoring data from the facility management programme, the introduction of new technology, skills and knowledge areas identified through the review of job performance, new clinical procedures, and future plans and strategies of the organisation. 

Education is relevant to each staff member as well as to the continuing advancement of the organisation in meeting patient needs and maintaining acceptable staff performance, teaching new skills and providing training on new equipment and procedures. There is documented evidence that each staff member who has attended training has gained the required competencies.

Each department or service manager ensures that in-service training is provided to the personnel of the particular department or service, e.g. , medical staff members may receive education on infection control, advances in medical practice or new technology. Information management personnel may be provided with in-service training on computer software and technicians may receive on-the-job training relating to equipment repair.

The leaders of the organisation support the commitment to ongoing in-service education for the staff by making available space, equipment and time for education and training programmes. The education and training can take place in a centralised location or in several smaller learning and skill development locations throughout the facility. The education can be offered once to all or repeated for all personnel on a shift by shift basis so as to minimise the impact on patient care activities.",2,TRUE
HOSPITAL,2,2.4,2.4.3,"Staff members participate in continuing education, research, and other educational experiences to acquire new skills and knowledge and to support job advancement.","The organisation has a process for informing the personnel of opportunities for development and training, participation in research and investigational studies and acquiring advanced or new skills. These opportunities may be offered by the organisation, by a staff member’s professional or trade association or through educational programmes in the community. The organisation supports such opportunities as appropriate to its mission and resources. Such support may be given through tuition support, scheduled time away from work, recognition of achievement and in other ways.",3,TRUE
HOSPITAL,2,2.5,2.5.1,"The organisation has an effective process for gathering, verifying, and evaluating the credentials (registration, development, training, and experience) of those healthcare professionals who are permitted to provide patient care without supervision.","Healthcare professionals who are registered to provide patient care without clinical supervision are primarily responsible for patient care and care outcomes. These professionals usually include doctors, dentists, professional nurses, radiographers and members of other professions allied to medicine. The organisation identifies those permitted to work independently in compliance with applicable laws and regulations. The organisation is responsible for ensuring that these individuals are qualified to provide patient care without clinical supervision and for specifying the types of care they are permitted to provide within the organisation. The organisation needs to ensure that the staff complement of qualified health professionals appropriately matches its mission, resources and patient needs. 

To ensure such a match, the organisation evaluates staff members’ credentials at the time of their appointment. An individual’s credentials consist of an appropriate current registration, completion of professional education and any additional training and experience. The organisation develops a process to gather this information, verify its accuracy and evaluate it in relation to the needs of the organisation and its patients. This process can be carried out by the organisation or by an external agency such as a Ministry of Health in the case of public organisations. The process applies to all types and levels of employed persons (employed, honorary, contract and private practitioners).

Evaluating an individual’s credentials is the basis for two decisions: whether this individual can contribute to fulfilling the organisation’s mission and meeting patient needs; and, if so, what clinical services this individual is qualified to perform.

These two decisions are documented and the latter decision is the basis for evaluating the individual’s ongoing performance.",1,TRUE
HOSPITAL,2,2.6,2.6.1,A formalised proactive quality improvement approach is maintained in the service.,"This refers to the implementation of an organisational quality improvement process (Service Element 8).

It is the responsibility of the management of the organisation to ensure that standards are set throughout the organisation. Within each department or service it is the responsibility of managers to ensure that standards are set for the particular department. This requires coordination with the organisation’s central/management/coordinating quality improvement structures or systems. Departmental managers use available data and information to identify priority areas which urgently require quality monitoring and improvement.

The following will be evaluated:
• departmental/service quality improvement structures (e.g. , quality committees)
• departmental/service quality improvement/operational plan
• setting of standards/objectives/indicators in the department/service
• results of monitoring and evaluation in the department/service, and
• use of monitoring and evaluation results for improvement purposes.

The medical staff members’ essential clinical roles require them to actively participate in the organisation’s efforts to evaluate their performances and clinical care outcomes. At any point during a staff member’s monitoring and evaluation, if his/her performance is in question, the organisation has a process to evaluate that individual’s performance.",1,TRUE
HOSPITAL,3,3.1,3.1.1,"Standard Budgeting, reporting and auditing processes are consistent with statutory
requirements and accepted standards.","Financial planning and management needs to be conducted by a person who
is suitably qualified and experienced in all matters relating to the organisation's finances.
Clinical and other leaders need to be included in planning their financial requirements. They
also require information relating to the funds available to them for the management of their
departments and up-to-date statements of current expenditure.  Sound accounting and
auditing practices are implemented to ensure transparency.

Financial managers improve their services through quality improvement methods.",1,TRUE
HOSPITAL,3,3.2,3.2.1,"Standard There is a system for the management of health records which meets the needs of
confidentiality and safety.","Health record management must be implemented by a person with suitable
training and experience. The manager controls the safe storage and retrieval of health
records. Health records must be readily available each time the patient visits a healthcare
professional, and therefore must be filed in such a way that they are easily identified.
Policies and procedures as well as managerial supervision ensure the safety and
confidentiality of health records. Loss of information may be through electronic failure, fire,
flood or natural or man made disasters. The organisation develops and implements a policy
that guides the retention of health records and other data and information. Health records
and other data and information are retained for sufficient periods to comply with laws and
regulations and support patient care, the management of the organisation, legal
documentation, research and education. The retention policy is consistent with the
confidentiality and security of such information. When the retention period is complete,
health records and other data and information are destroyed appropriately.

Facilities make more use of electronic systems, requiring these standards and criteria to be
assessed appropriately in such instances. These electronic systems vary greatly in their
application and can range from a simple spreadsheet which registers all patient
admissions/folders to very sophisticated systems where the entire health record is kept
electronically.

Often organisations do not have a single central location from where records are managed
and it is important to apply the standards and criteria to all areas where health records are
being handled, stored or archived. All these areas (that are under the control/management
of the organisation) need to be assessed, even if located off-site, e.g. across the street, on
an adjacent plot (within reasonable travelling distance). This assessment does not include
warehouses of private companies to whom the archiving of records has been contracted as
the service agreement/contract will have to make provision for the monitoring of compliance
with specifications (refer to standard 1.2.7).",1,TRUE
HOSPITAL,3,3.3,3.3.1,"Standard There is a system to ensure that equipment and supplies are ordered, available,
stored and distributed from a central point.","A competent and qualified person ensures the effective administration of the
provisioning department. This includes the timely ordering of equipment and supplies, safe
storage, prevention and notification of losses, effective distribution to departments on
request and maintenance of information relating to ordering, receipt, storage and distribution
of equipment and supplies. Managers need to be assured that all equipment and supplies
needed by departments will be immediately available on request.

Policies and procedures guide the processes of provisioning management.  Such policies
could include the ordering of and the payment for supplies and equipment, the safe storage
of supplies, condemning procedures and the security of order books, prescription pads and
other face-value documents.

The organisation's leaders need to ensure that finances are made available for the purchase
of those items of equipment and supplies which have been identified as needed by clinical
and managerial leaders. The provisioning managers therefore need to work closely with the
financial manager.

The high costs of hospital supplies and equipment make it essential that sound auditing
practices are in place to ensure control of the financial aspects of provisioning. A
management information system must track all inventory.  Expenditure on equipment and
supplies is transparent and all records must be monitored and available to managers and
auditors for accounting.",1,TRUE
HOSPITAL,3,3.3,3.3.2,Standard All equipment and supplies are safely stored.,"The storage of equipment and supplies must allow for security, ease of access
and effective inventory taking.  Acts and regulations, as well as policies and procedures,
guide the storage of equipment and supplies.

The administrative support service ensures that supplies and provisions are ordered,
received and provided to departments in time to meet their needs.

This standard is scored NA if the physical facility (central main store) does not exist, e.g. in
small hospitals or private hospitals where ordered items go straight to ward/department on
delivery.",2,TRUE
HOSPITAL,3,3.4,3.4.1,"Standard The use of organisational motor vehicles by personnel is planned and monitored to
ensure safety and legality.","The use of vehicles needs to be controlled because of the cost of acquiring
and maintaining vehicles and the legal aspects of driving motor vehicles and transporting
passengers.",1,TRUE
HOSPITAL,3,3.4,3.4.2,"Standard The organisation provides a medical transport/ambulance service in line with
relevant laws and regulations.","A comprehensive response and deployment plan addresses the location of
facilities and distribution of vehicles, personnel and other resources. These should be
deployed in a way that optimises their use and provides uniform care across the area
served.",2,TRUE
HOSPITAL,4,4.1,,"Patients are admitted to receive inpatient care or are registered for outpatient services, based on their identified healthcare needs and the organisation’s mission and resources.","To improve access to its services, the healthcare organisation provides information to the community on its services and hours of operation and how to obtain care.

Only those patients for whom the organisation can be expected to provide care enter the organisation.

Matching patient needs to the healthcare organisation's mission and resources depends on obtaining information on the patient's needs and condition through screening at the first point of contact. The screening can occur at the referral setting, during emergency transport or when the patient arrives at the organisation.

The screening assessment leads to an understanding of the type of preventive, palliative, curative and rehabilitative services needed by the patient. This information is used to determine the most appropriate setting(s) required to meet the patient’s most urgent needs. Thus, admission to the organisation and/or referral to another setting may be required to meet the patient’s needs.

The patient’s needs may have been determined before entering the organisation by a physician or other organisation. If the patient’s needs had not been determined prior to entry, those needs are identified through a triage process, screening assessment, or medical history and physical examination of the patient. Diagnostic testing may also be required to:
- determine the patient’s needs
- determine if the organisation has the appropriate resources to treat the patient, or
- establish if the patient should be referred or transferred to another setting for care.

For emergency or critical patients, the needs are clear and diagnostic testing follows admission. Diagnostic test results are made available to those who must decide on further management in the facility, transfer or referral of the patient.

Patients are informed when there are known long waiting periods for diagnostic and/or treatment services or when obtaining the planned care may require placement on a waiting list. Patients are informed of the associated reasons for the delay or wait and are informed of available alternatives. This requirement applies to inpatient and outpatient care and/or diagnostic services, not to minor waits in providing outpatient care or inpatient care as when a physician is behind schedule.",1,TRUE
HOSPITAL,4,4.2,4.2.1,"The organisation reduces physical, language, cultural and other barriers to access and the provision of care.","Healthcare organisations often serve communities with many different types of individuals. Patients may be elderly, physically challenged or speak multiple languages or dialects. They may be from different cultural backgrounds or have other barriers that make the process of accessing and receiving care very difficult. The organisation identifies these barriers and implements processes to reduce or eliminate them.",1,TRUE
HOSPITAL,4,4.2,4.2.2,The organisation has an established process for admitting inpatients and for registering outpatients.,"The process for admitting patients to the organisation for care is standardised through the use of policies and procedures. Staff responsible for the admission process, are familiar with and follow the standardised procedures. The policies and procedures address the admission of patients directly from the emergency service and the process for holding patients for observation. The policies also address how patients are managed when inpatient facilities are limited or no space is available to admit patients. Patients with emergency or immediate needs are assessed and receive the necessary care as quickly as possible. Such patients may be assessed by the physician before other patients, receive diagnostic services and have treatment initiated to meet their needs as rapidly as possible. The organisation establishes criteria and trains the staff to recognise those patients with immediate needs and prioritise their care process.",2,TRUE
HOSPITAL,4,4.2,4.2.3,"At admission as an inpatient, patients and their families receive sufficient information to make informed decisions.","During the admission process, patients and their families receive sufficient information to make an informed decision about seeking care. Information is provided on what care is proposed, the expected results, and any expected cost to the patient or family for that care, when this is not paid for by a public or private source. Patients and families need complete information on the care and services offered by the organisation, as well as on how to access those services. Providing this information is essential to the building of an open and trusting communication between patients, families and the organisation. This information helps to match the patient’s expectations to the ability of the organisation to meet those expectations. Information on alternative sources of care and services is provided, when the needed care is beyond the organisation’s mission and capabilities. 

For patients and families to participate in care decisions, they need basic information regarding the medical conditions, found during assessment and on the care and treatment proposed. Patients and families understand when they will be given this information and who is responsible for telling them. Patients and families understand the type of decisions that must be made about care and how to participate in those decisions. In addition, patients and families need to understand the organisation’s process to obtain consent and which care processes, tests, procedures and treatments require their consent. 

While some patients may not wish to personally participate in the decisions regarding, they are, nevertheless, given the opportunity, and can choose to participate through a family member, friend or a surrogate decision-maker.",3,TRUE
HOSPITAL,4,4.2,4.2.4,Admission or transfer to units providing intensive or specialised services is determined by established criteria.,"Units or services that provide intensive care (for example a post-surgical intensive care unit) or that provide specialised services (for example the care of patients with burns, or organ transplant units), are costly and usually have limited space and staff. Each organisation must establish criteria for identifying those patients who require the level of care provided in such units. Appropriate individuals from the intensive or specialised services participate in developing those criteria. The criteria are used to determine direct entry to the unit, for example directly from the emergency service. 

The criteria are also used to authorise transfer into the unit from within or outside the organisation, and in deciding when a patient no longer requires the services of the unit and can be transferred to another level of care.",4,TRUE
HOSPITAL,5,5.1,5.1.1,Standard Implementation of Patient Rights The  organisation  is  responsible  for  providing  processes  that  support patient and family rights during care.,"An  organisation’s  leaders  are  primarily  responsible  for  the  way  in  which  that organisation treats its patients. The leaders need to know and understand patient and  family  rights  and  their  organisation’s  responsibilities  as  specified  in  laws, charters  and  regulations.  The  leaders    provide  direction  to  ensure  that  personnel throughout  the  organisation  assume  responsibility  for  protecting  these  rights.  To effectively protect and advance patient rights, the leaders work collaboratively, and seek to understand their responsibilities in relation to the community served by the organisation. Patient  and  family  rights  are  a  fundamental  element  of  all  contacts  between  the personnel  of  an  organisation  and  patients  and  families.  Thus,  policies  and procedures are developed and implemented to ensure that all staff are aware of and respond  to  patient  and  family  rights  issues,  including  their  role  in  supporting patients’ and families’ rights to participate in the care process. Admission  to  a  healthcare  organisation  can  be  a  frightening  and  confusing experience for patients, making it difficult for them to understand and act on their rights.  Thus,  the  organisation  prepares  a  written  statement  of  patient  and  family rights, and this is given to patients when they enter the organisation for care, and is  available  throughout  their  stay  for  e.g.,  the  statement  may  be  posted  in  the facility. The  statement  is  appropriate  to  the  patient’s  age,  understanding  and  language. When written communication is not effective or appropriate, the patient and family are informed of their rights in a manner they can understand. Each  patient  brings  his  or  her  own  set  of  values  and  beliefs  to  the  care  process. Some  values  and  beliefs  are  commonly  held  by  all  patients  and  are  frequently cultural  and  religious  in  origin.  Other  values  and  beliefs  are  those  of  the  patient alone.  All patients are encouraged to express their beliefs in ways that respect the beliefs of others. Strongly  held  values  and  beliefs  can  shape  the  care  process  and  how  patients respond  to  care.  Thus,  each  care  provider  seeks  to  understand  the  care  and services  they  provide  within  the  context  of  the  patient’s  values  and  beliefs.  The organisation educates  all  personnel  about  the  rights of  patients  and  families.  The educational  process  recognises  that  personnel  members  may  hold  values  and beliefs  that  are  different  from  the  patients  under  their  care.  The  educational process  includes  training  each  staff  member  how  to  identify  patient  values  and beliefs, and how to respect those values and beliefs in the care process. 96",1,TRUE
